Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
39,Entry Long,Sell 20750 PE,2023-12-07 09:20,20866.15,1,41.05,0.2,651.70,0,139.95,0.67,15.35,0.07
40,Exit Long,X-Exit-Sell 21000PE,2023-12-19 15:25,21446.80,1,338.00,1.6,989.70,0.03,396.25,1.88,6.70,0.03
40,Entry Long,Sell 21000 PE,2023-12-14 09:20,21108.80,1,338.00,1.6,989.70,0.03,396.25,1.88,6.70,0.03
41,Exit Long,X-Exit-Sell 20950PE,2023-12-26 15:25,21447.55,1,401.25,1.91,1390.95,0.04,430.85,2.05,44.45,0.21
41,Entry Long,Sell 20950 PE,2023-12-21 09:20,21046.30,1,401.25,1.91,1390.95,0.04,430.85,2.05,44.45,0.21
42,Exit Long,SQ-Exit-Sell 21600PE,2023-12-29 14:25,21681.70,1,-38.90,-0.18,1352.05,0,80.85,0.37,43.70,0.2
42,Entry Long,Sell 21600 PE,2023-12-28 09:20,21720.60,1,-38.90,-0.18,1352.05,0,80.85,0.37,43.70,0.2
43,Exit Long,SQ-Exit-Sell 21500PE,2024-01-05 14:35,21662.25,1,59.70,0.28,1411.75,0.01,147.05,0.68,10.80,0.05
43,Entry Long,Sell 21500 PE,2024-01-04 09:20,21602.55,1,59.70,0.28,1411.75,0.01,147.05,0.68,10.80,0.05
44,Exit Long,SQ-Exit-Sell 21600PE,2024-01-12 10:05,21782.05,1,61.60,0.28,1473.35,0.01,68.70,0.32,126.70,0.58
44,Entry Long,Sell 21600 PE,2024-01-11 09:20,21720.45,1,61.60,0.28,1473.35,0.01,68.70,0.32,126.70,0.58
45,Exit Long,SQ-Exit-Sell 21350PE,2024-01-19 09:20,21645.55,1,200.45,0.93,1673.80,0.02,205.75,0.96,159.55,0.74
45,Entry Long,Sell 21350 PE,2024-01-18 09:20,21445.10,1,200.45,0.93,1673.80,0.02,205.75,0.96,159.55,0.74
46,Exit Long,SQ-Exit-Sell 21300PE,2024-01-29 09:20,21476.75,1,65.25,0.3,1739.05,0.01,73.90,0.35,164.45,0.77
46,Entry Long,Sell 21300 PE,2024-01-25 09:20,21411.50,1,65.25,0.3,1739.05,0.01,73.90,0.35,164.45,0.77
47,Exit Long,SQ-Exit-Sell 21600PE,2024-02-02 09:20,21919.25,1,204.00,0.94,1943.05,0.02,204.00,0.94,56.50,0.26
47,Entry Long,Sell 21600 PE,2024-02-01 09:20,21715.25,1,204.00,0.94,1943.05,0.02,204.00,0.94,56.50,0.26
48,Exit Long,X-Exit-Sell 21900PE,2024-02-13 15:25,21743.20,1,-248.80,-1.13,1694.25,-0.02,16.05,0.07,448.65,2.04
48,Entry Long,Sell 21900 PE,2024-02-08 09:20,21992.00,1,-248.80,-1.13,1694.25,-0.02,16.05,0.07,448.65,2.04
49,Exit Long,SQ-Exit-Sell 21800PE,2024-02-16 09:20,22004.90,1,112.70,0.51,1806.95,0.01,131.95,0.6,97.40,0.44
49,Entry Long,Sell 21800 PE,2024-02-15 09:20,21892.20,1,112.70,0.51,1806.95,0.01,131.95,0.6,97.40,0.44
50,Exit Long,SQ-Exit-Sell 21950PE,2024-02-26 12:00,22101.05,1,53.95,0.24,1860.90,0.01,250.40,1.14,171.85,0.78
50,Entry Long,Sell 21950 PE,2024-02-22 09:20,22047.10,1,53.95,0.24,1860.90,0.01,250.40,1.14,171.85,0.78
51,Exit Long,X-Exit-Sell 21850PE,2024-03-05 15:25,22357.80,1,423.40,1.93,2284.30,0.04,529.25,2.41,73.75,0.34
51,Entry Long,Sell 21850 PE,2024-02-29 09:20,21934.40,1,423.40,1.93,2284.30,0.04,529.25,2.41,73.75,0.34
52,Exit Long,SQ-Exit-Sell 22400PE,2024-03-11 10:05,22452.70,1,-49.90,-0.22,2234.40,0,24.00,0.11,72.60,0.32
52,Entry Long,Sell 22400 PE,2024-03-07 09:20,22502.60,1,-49.90,-0.22,2234.40,0,24.00,0.11,72.60,0.32
53,Exit Long,SQ-Exit-Sell 21850PE,2024-03-15 10:45,21979.90,1,49.25,0.22,2283.65,0,273.95,1.25,0,0
53,Entry Long,Sell 21850 PE,2024-03-14 09:20,21930.65,1,49.25,0.22,2283.65,0,273.95,1.25,0,0
54,Exit Long,SQ-Exit-Sell 21900PE,2024-03-22 09:25,21952.30,1,-51.10,-0.23,2232.55,-0.01,77.55,0.35,78.25,0.36
54,Entry Long,Sell 21900 PE,2024-03-21 09:20,22003.40,1,-51.10,-0.23,2232.55,-0.01,77.55,0.35,78.25,0.36
55,Exit Long,X-Exit-Sell 22100PE,2024-04-02 15:25,22465.15,1,274.50,1.24,2507.05,0.03,339.30,1.53,4.45,0.02
55,Entry Long,Sell 22100 PE,2024-03-28 09:20,22190.65,1,274.50,1.24,2507.05,0.03,339.30,1.53,4.45,0.02
56,Exit Long,SQ-Exit-Sell 22500PE,2024-04-05 09:20,22464.30,1,-116.00,-0.51,2391.05,-0.01,0.60,0,276.50,1.22
56,Entry Long,Sell 22500 PE,2024-04-04 09:20,22580.30,1,-116.00,-0.51,2391.05,-0.01,0.60,0,276.50,1.22
