Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
109,Exit Long,TSL-Exit-Sell 21200PE,1/25/2024 10:20,21326.9,1,2.95,0.01,3714.95,0,158.4,0.74,42.8,0.2
109,Entry Long,Sell 21200 PE,1/24/2024 13:05,21323.95,1,2.95,0.01,3714.95,0,158.4,0.74,42.8,0.2
110,Exit Long,TG-Exit-Sell 21550PE,2/1/2024 11:00,21803.95,1,175.7,0.81,3890.65,0.02,175.7,0.81,19.85,0.09
110,Entry Long,Sell 21550 PE,1/31/2024 10:35,21628.25,1,175.7,0.81,3890.65,0.02,175.7,0.81,19.85,0.09
111,Exit Long,SL-Exit-Sell 21700PE,2/1/2024 11:15,21731.45,1,-79.25,-0.36,3811.4,-0.01,3.1,0.01,79.25,0.36
111,Entry Long,Sell 21700 PE,2/1/2024 11:05,21810.7,1,-79.25,-0.36,3811.4,-0.01,3.1,0.01,79.25,0.36
112,Exit Long,TG-Exit-Sell 21850PE,2/2/2024 11:40,22121.95,1,171.95,0.78,3983.35,0.02,171.95,0.78,11.9,0.05
112,Entry Long,Sell 21850 PE,2/2/2024 11:05,21950,1,171.95,0.78,3983.35,0.02,171.95,0.78,11.9,0.05
113,Exit Long,SL-Exit-Sell 21900PE,2/7/2024 11:30,21906.45,1,-80.55,-0.37,3902.8,-0.01,34.05,0.15,80.55,0.37
113,Entry Long,Sell 21900 PE,2/7/2024 9:55,21987,1,-80.55,-0.37,3902.8,-0.01,34.05,0.15,80.55,0.37
114,Exit Long,SL-Exit-Sell 21900PE,2/8/2024 10:15,21891.25,1,-84.9,-0.39,3817.9,-0.01,34.9,0.16,84.9,0.39
114,Entry Long,Sell 21900 PE,2/7/2024 14:25,21976.15,1,-84.9,-0.39,3817.9,-0.01,34.9,0.16,84.9,0.39
115,Exit Long,TG-Exit-Sell 21550PE,2/14/2024 14:55,21833.85,1,164.6,0.76,3982.5,0.02,164.6,0.76,34.55,0.16
115,Entry Long,Sell 21550 PE,2/14/2024 12:35,21669.25,1,164.6,0.76,3982.5,0.02,164.6,0.76,34.55,0.16
116,Exit Long,TG-Exit-Sell 21800PE,2/19/2024 9:15,22107.5,1,232.1,1.06,4214.6,0.02,232.1,1.06,80.6,0.37
116,Entry Long,Sell 21800 PE,2/15/2024 9:50,21875.4,1,232.1,1.06,4214.6,0.02,232.1,1.06,80.6,0.37
117,Exit Long,TG-Exit-Sell 21900PE,2/22/2024 14:50,22148.05,1,148,0.67,4362.6,0.01,148,0.67,7,0.03
117,Entry Long,Sell 21900 PE,2/22/2024 13:40,22000.05,1,148,0.67,4362.6,0.01,148,0.67,7,0.03
118,Exit Long,SL-Exit-Sell 22100PE,2/28/2024 10:50,22157.65,1,-66.65,-0.3,4295.95,-0.01,4.85,0.02,66.65,0.3
118,Entry Long,Sell 22100 PE,2/28/2024 10:10,22224.3,1,-66.65,-0.3,4295.95,-0.01,4.85,0.02,66.65,0.3
119,Exit Long,SL-Exit-Sell 21900PE,2/29/2024 10:05,21942.75,1,-72.3,-0.33,4223.65,-0.01,3.45,0.02,72.3,0.33
119,Entry Long,Sell 21900 PE,2/29/2024 10:00,22015.05,1,-72.3,-0.33,4223.65,-0.01,3.45,0.02,72.3,0.33
120,Exit Long,TG-Exit-Sell 21850PE,3/1/2024 9:15,22110.9,1,143.3,0.65,4366.95,0.01,143.3,0.65,70.45,0.32
120,Entry Long,Sell 21850 PE,2/29/2024 11:15,21967.6,1,143.3,0.65,4366.95,0.01,143.3,0.65,70.45,0.32
121,Exit Long,TG-Exit-Sell 22100PE,3/1/2024 14:45,22344.3,1,156.05,0.7,4523,0.02,156.05,0.7,15.8,0.07
121,Entry Long,Sell 22100 PE,3/1/2024 10:50,22188.25,1,156.05,0.7,4523,0.02,156.05,0.7,15.8,0.07
122,Exit Long,TG-Exit-Sell 22250PE,3/6/2024 14:40,22460,1,132.25,0.59,4655.25,0.01,132.25,0.59,0.35,0
122,Entry Long,Sell 22250 PE,3/6/2024 13:45,22327.75,1,132.25,0.59,4655.25,0.01,132.25,0.59,0.35,0
