Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
52,Entry Long,Sell 44200 PE,2023-06-08 10:05,44422.30,30,-5652.00,-0.42,25702.50,-0.55,1108.50,0.08,5652.00,0.42
53,Exit Short,X-Exit-Sell Sell 44200 CE,2023-06-09 14:45,43986.70,30,-124.50,-0.01,25578.00,-0.01,846.00,0.06,2523.00,0.19
53,Entry Short,Sell 44200 CE,2023-06-09 13:55,43982.55,30,-124.50,-0.01,25578.00,-0.01,846.00,0.06,2523.00,0.19
54,Exit Short,X-Exit-Sell Sell 44200 CE,2023-06-13 14:45,43981.15,30,-720.00,-0.05,24858.00,-0.07,294.00,0.02,1393.50,0.11
54,Entry Short,Sell 44200 CE,2023-06-13 14:00,43957.15,30,-720.00,-0.05,24858.00,-0.07,294.00,0.02,1393.50,0.11
55,Exit Short,X-Exit-Sell Sell 44100 CE,2023-06-15 14:45,43456.00,60,25281.00,0.96,50139.00,2.47,26973.00,1.02,1506.00,0.06
55,Entry Short,Sell 44100 CE,2023-06-15 11:10,43877.35,60,25281.00,0.96,50139.00,2.47,26973.00,1.02,1506.00,0.06
56,Exit Long,X-Exit-Sell Sell 43600 PE,2023-06-16 14:45,43871.25,30,2572.50,0.2,52711.50,0.24,2575.50,0.2,3009.00,0.23
56,Entry Long,Sell 43600 PE,2023-06-16 11:45,43785.50,30,2572.50,0.2,52711.50,0.24,2575.50,0.2,3009.00,0.23
57,Exit Short,X-Exit-Sell Sell 44000 CE,2023-06-19 14:45,43678.40,30,3105.00,0.24,55816.50,0.29,8415.00,0.64,220.50,0.02
57,Entry Short,Sell 44000 CE,2023-06-19 10:20,43781.90,30,3105.00,0.24,55816.50,0.29,8415.00,0.64,220.50,0.02
58,Exit Long,X-Exit-Sell Sell 43300 PE,2023-06-20 14:45,43600.55,30,4170.00,0.32,59986.50,0.39,5809.50,0.45,34.50,0
58,Entry Long,Sell 43300 PE,2023-06-20 12:55,43461.55,30,4170.00,0.32,59986.50,0.39,5809.50,0.45,34.50,0
59,Exit Short,X-Exit-Sell Sell 44000 CE,2023-06-21 14:45,43817.10,30,-51.00,0,59935.50,0,3493.50,0.27,3487.50,0.27
59,Entry Short,Sell 44000 CE,2023-06-21 10:20,43815.40,30,-51.00,0,59935.50,0,3493.50,0.27,3487.50,0.27
60,Exit Short,X-Exit-Sell Sell 44000 CE,2023-06-22 14:45,43804.95,30,1194.00,0.09,61129.50,0.11,5442.00,0.41,5922.00,0.45
60,Entry Short,Sell 44000 CE,2023-06-22 12:10,43844.75,30,1194.00,0.09,61129.50,0.11,5442.00,0.41,5922.00,0.45
61,Exit Long,SL-Exit-Sell 43600PE,2023-06-23 14:10,43653.25,30,-4339.50,-0.33,56790.00,-0.41,786.00,0.06,4339.50,0.33
61,Entry Long,Sell 43600 PE,2023-06-23 12:45,43797.90,30,-4339.50,-0.33,56790.00,-0.41,786.00,0.06,4339.50,0.33
62,Exit Long,X-Exit-Sell Sell 43700 PE,2023-06-27 14:45,43917.90,30,1366.50,0.1,58156.50,0.13,4042.50,0.31,786.00,0.06
62,Entry Long,Sell 43700 PE,2023-06-27 13:55,43872.35,30,1366.50,0.1,58156.50,0.13,4042.50,0.31,786.00,0.06
63,Exit Long,X-Exit-Sell Sell 44200 PE,2023-06-28 14:45,44380.05,30,891.00,0.07,59047.50,0.08,4741.50,0.36,2812.50,0.21
63,Entry Long,Sell 44200 PE,2023-06-28 11:25,44350.35,30,891.00,0.07,59047.50,0.08,4741.50,0.36,2812.50,0.21
64,Exit Long,X-Exit-Sell Sell 44500 PE,2023-06-30 14:45,44772.10,60,4548.00,0.17,63595.50,0.43,5448.00,0.2,4743.00,0.18
64,Entry Long,Sell 44500 PE,2023-06-30 12:40,44696.30,60,4548.00,0.17,63595.50,0.43,5448.00,0.2,4743.00,0.18
65,Exit Short,X-Exit-Sell Sell 45300 CE,2023-07-03 14:45,45169.00,30,-2113.50,-0.16,61482.00,-0.2,1726.50,0.13,5205.00,0.38
65,Entry Short,Sell 45300 CE,2023-07-03 11:15,45098.55,30,-2113.50,-0.16,61482.00,-0.2,1726.50,0.13,5205.00,0.38
66,Exit Long,TG-Exit-Sell 45100PE,2023-07-04 13:20,45562.50,30,6567.00,0.48,68049.00,0.62,6567.00,0.48,238.50,0.02
66,Entry Long,Sell 45100 PE,2023-07-04 12:05,45343.60,30,6567.00,0.48,68049.00,0.62,6567.00,0.48,238.50,0.02
67,Exit Short,X-Exit-Sell Sell 45300 CE,2023-07-05 14:45,45100.45,30,525.00,0.04,68574.00,0.05,933.00,0.07,3049.50,0.23
67,Entry Short,Sell 45300 CE,2023-07-05 13:35,45117.95,30,525.00,0.04,68574.00,0.05,933.00,0.07,3049.50,0.23
68,Exit Long,X-Exit-Sell Sell 45000 PE,2023-07-06 14:45,45319.10,30,3135.00,0.23,71709.00,0.29,5167.50,0.38,3892.50,0.29
68,Entry Long,Sell 45000 PE,2023-07-06 10:10,45214.60,30,3135.00,0.23,71709.00,0.29,5167.50,0.38,3892.50,0.29
69,Exit Short,X-Exit-Sell Sell 45300 CE,2023-07-07 14:45,45043.20,30,526.50,0.04,72235.50,0.05,6451.50,0.48,138.00,0.01
69,Entry Short,Sell 45300 CE,2023-07-07 10:45,45060.75,30,526.50,0.04,72235.50,0.05,6451.50,0.48,138.00,0.01
70,Exit Short,X-Exit-Sell Sell 45200 CE,2023-07-10 14:45,44772.30,30,5592.00,0.41,77827.50,0.52,6042.00,0.45,0,0
70,Entry Short,Sell 45200 CE,2023-07-10 11:15,44958.70,30,5592.00,0.41,77827.50,0.52,6042.00,0.45,0,0
71,Exit Short,X-Exit-Sell Sell 45200 CE,2023-07-11 14:45,44818.90,30,5545.50,0.41,83373.00,0.51,6064.50,0.45,916.50,0.07
71,Entry Short,Sell 45200 CE,2023-07-11 13:30,45003.75,30,5545.50,0.41,83373.00,0.51,6064.50,0.45,916.50,0.07
72,Exit Long,SL-Exit-Sell 44800PE,2023-07-13 13:45,44886.45,30,-3481.50,-0.26,79891.50,-0.32,2479.50,0.18,3481.50,0.26
72,Entry Long,Sell 44800 PE,2023-07-13 10:30,45002.50,30,-3481.50,-0.26,79891.50,-0.32,2479.50,0.18,3481.50,0.26
73,Exit Short,X-Exit-Sell Sell 45100 CE,2023-07-13 14:45,44695.65,30,5205.00,0.39,85096.50,0.48,5844.00,0.43,664.50,0.05
73,Entry Short,Sell 45100 CE,2023-07-13 13:55,44869.15,30,5205.00,0.39,85096.50,0.48,5844.00,0.43,664.50,0.05
74,Exit Short,X-Exit-Sell Sell 44800 CE,2023-07-14 14:45,44587.40,30,211.50,0.02,85308.00,0.02,1399.50,0.1,2359.50,0.18
74,Entry Short,Sell 44800 CE,2023-07-14 13:50,44594.45,30,211.50,0.02,85308.00,0.02,1399.50,0.1,2359.50,0.18
75,Exit Long,TG-Exit-Sell 44600PE,2023-07-17 13:20,45046.65,30,6762.00,0.5,92070.00,0.62,6762.00,0.5,2863.50,0.21
75,Entry Long,Sell 44600 PE,2023-07-17 12:35,44821.25,30,6762.00,0.5,92070.00,0.62,6762.00,0.5,2863.50,0.21
76,Exit Short,X-Exit-Sell Sell 45800 CE,2023-07-18 14:45,45386.20,30,6483.00,0.47,98553.00,0.59,9474.00,0.69,1542.00,0.11
76,Entry Short,Sell 45800 CE,2023-07-18 11:40,45602.30,30,6483.00,0.47,98553.00,0.59,9474.00,0.69,1542.00,0.11
77,Exit Short,X-Exit-Sell Sell 45700 CE,2023-07-19 14:45,45526.95,30,-1551.00,-0.11,97002.00,-0.14,1267.50,0.09,5814.00,0.43
77,Entry Short,Sell 45700 CE,2023-07-19 11:15,45475.25,30,-1551.00,-0.11,97002.00,-0.14,1267.50,0.09,5814.00,0.43
