Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
47,Entry Short,Sell 17600 CE,2022-04-13 12:15,17483.25,100,-1485.00,-0.08,56645.00,-0.14,2585.00,0.15,4530.00,0.26
48,Exit Short,X-Exit-Sell 17150CE,2022-04-27 15:00,17079.70,100,-3200.00,-0.19,53445.00,-0.3,8925.00,0.52,4385.00,0.26
48,Entry Short,Sell 17150 CE,2022-04-27 11:30,17047.70,100,-3200.00,-0.19,53445.00,-0.3,8925.00,0.52,4385.00,0.26
49,Exit Short,X-Exit-Sell 17050CE,2022-05-04 15:00,16670.40,100,26620.00,1.57,80065.00,2.53,31265.00,1.85,2755.00,0.16
49,Entry Short,Sell 17050 CE,2022-05-04 11:45,16936.60,100,26620.00,1.57,80065.00,2.53,31265.00,1.85,2755.00,0.16
50,Exit Short,X-Exit-Sell 15950CE,2022-05-12 15:00,15824.40,100,3575.00,0.23,83640.00,0.33,12440.00,0.78,2990.00,0.19
50,Entry Short,Sell 15950 CE,2022-05-12 11:00,15860.15,100,3575.00,0.23,83640.00,0.33,12440.00,0.78,2990.00,0.19
51,Exit Short,X-Exit-Sell 16350CE,2022-06-10 15:00,16199.50,200,9640.00,0.3,93280.00,0.89,15020.00,0.46,2200.00,0.07
51,Entry Short,Sell 16350 CE,2022-06-10 11:30,16247.70,200,9640.00,0.3,93280.00,0.89,15020.00,0.46,2200.00,0.07
52,Exit Short,X-Exit-Sell 15700CE,2022-06-16 15:00,15379.50,100,23995.00,1.54,117275.00,2.19,27530.00,1.76,580.00,0.04
52,Entry Short,Sell 15700 CE,2022-06-16 11:45,15619.45,100,23995.00,1.54,117275.00,2.19,27530.00,1.76,580.00,0.04
53,Exit Short,X-Exit-Sell 15350CE,2022-06-20 15:00,15282.90,200,-1870.00,-0.06,115405.00,-0.17,4670.00,0.15,21790.00,0.71
53,Entry Short,Sell 15350 CE,2022-06-20 11:00,15273.55,200,-1870.00,-0.06,115405.00,-0.17,4670.00,0.15,21790.00,0.71
54,Exit Short,X-Exit-Sell 15850CE,2022-06-30 15:00,15827.85,100,-7200.00,-0.46,108205.00,-0.65,2170.00,0.14,9655.00,0.61
54,Entry Short,Sell 15850 CE,2022-06-30 12:15,15755.85,100,-7200.00,-0.46,108205.00,-0.65,2170.00,0.14,9655.00,0.61
55,Exit Short,X-Exit-Sell 16250CE,2022-07-11 15:00,16224.65,400,-25760.00,-0.4,82445.00,-2.32,17220.00,0.27,35320.00,0.55
55,Entry Short,Sell 16250 CE,2022-07-11 11:15,16160.25,400,-25760.00,-0.4,82445.00,-2.32,17220.00,0.27,35320.00,0.55
56,Exit Short,X-Exit-Sell 16250CE,2022-07-12 15:00,16077.85,100,6720.00,0.42,89165.00,0.62,7495.00,0.46,1260.00,0.08
56,Entry Short,Sell 16250 CE,2022-07-12 10:45,16145.05,100,6720.00,0.42,89165.00,0.62,7495.00,0.46,1260.00,0.08
57,Exit Short,X-Exit-Sell 16150CE,2022-07-13 15:00,15989.60,200,12800.00,0.4,101965.00,1.18,17120.00,0.53,680.00,0.02
57,Entry Short,Sell 16150 CE,2022-07-13 12:45,16053.60,200,12800.00,0.4,101965.00,1.18,17120.00,0.53,680.00,0.02
58,Exit Short,X-Exit-Sell 16700CE,2022-07-25 15:00,16666.10,100,-6390.00,-0.38,95575.00,-0.58,3795.00,0.23,8185.00,0.49
58,Entry Short,Sell 16700 CE,2022-07-25 10:45,16602.20,100,-6390.00,-0.38,95575.00,-0.58,3795.00,0.23,8185.00,0.49
59,Exit Short,X-Exit-Sell 16600CE,2022-07-26 15:00,16495.70,100,800.00,0.05,96375.00,0.07,2070.00,0.13,6925.00,0.42
59,Entry Short,Sell 16600 CE,2022-07-26 10:45,16503.70,100,800.00,0.05,96375.00,0.07,2070.00,0.13,6925.00,0.42
60,Exit Short,X-Exit-Sell 17350CE,2022-08-03 15:00,17336.50,100,-9970.00,-0.58,86405.00,-0.91,1095.00,0.06,10440.00,0.61
60,Entry Short,Sell 17350 CE,2022-08-03 11:15,17236.80,100,-9970.00,-0.58,86405.00,-0.91,1095.00,0.06,10440.00,0.61
61,Exit Short,X-Exit-Sell 17350CE,2022-08-04 15:00,17349.05,100,-11245.00,-0.65,75160.00,-1.04,1200.00,0.07,12755.00,0.74
61,Entry Short,Sell 17350 CE,2022-08-04 12:00,17236.60,100,-11245.00,-0.65,75160.00,-1.04,1200.00,0.07,12755.00,0.74
62,Exit Short,X-Exit-Sell 17900CE,2022-08-19 15:00,17775.50,100,1250.00,0.07,76410.00,0.12,7725.00,0.43,4600.00,0.26
62,Entry Short,Sell 17900 CE,2022-08-19 11:45,17788.00,100,1250.00,0.07,76410.00,0.12,7725.00,0.43,4600.00,0.26
63,Exit Short,X-Exit-Sell 17700CE,2022-08-26 15:00,17593.60,200,-1240.00,-0.04,75170.00,-0.12,4700.00,0.13,4760.00,0.14
63,Entry Short,Sell 17700 CE,2022-08-26 13:15,17587.40,200,-1240.00,-0.04,75170.00,-0.12,4700.00,0.13,4760.00,0.14
64,Exit Short,X-Exit-Sell 18000CE,2022-09-15 15:00,17912.80,100,755.00,0.04,75925.00,0.07,5760.00,0.32,4205.00,0.23
64,Entry Short,Sell 18000 CE,2022-09-15 11:45,17920.35,100,755.00,0.04,75925.00,0.07,5760.00,0.32,4205.00,0.23
65,Exit Short,X-Exit-Sell 16950CE,2022-09-29 15:00,16846.75,100,2470.00,0.15,78395.00,0.23,8285.00,0.49,1205.00,0.07
65,Entry Short,Sell 16950 CE,2022-09-29 12:45,16871.45,100,2470.00,0.15,78395.00,0.23,8285.00,0.49,1205.00,0.07
66,Exit Short,X-Exit-Sell 17050CE,2022-10-03 15:00,16892.25,100,7195.00,0.42,85590.00,0.67,10865.00,0.64,9555.00,0.56
66,Entry Short,Sell 17050 CE,2022-10-03 11:00,16964.20,100,7195.00,0.42,85590.00,0.67,10865.00,0.64,9555.00,0.56
67,Exit Short,X-Exit-Sell 17200CE,2022-10-10 15:00,17230.45,100,-11995.00,-0.7,73595.00,-1.1,1695.00,0.1,16965.00,0.99
67,Entry Short,Sell 17200 CE,2022-10-10 11:00,17110.50,100,-11995.00,-0.7,73595.00,-1.1,1695.00,0.1,16965.00,0.99
68,Exit Short,X-Exit-Sell 17300CE,2022-10-11 15:00,17020.85,100,15635.00,0.91,89230.00,1.46,15840.00,0.92,3615.00,0.21
68,Entry Short,Sell 17300 CE,2022-10-11 11:30,17177.20,100,15635.00,0.91,89230.00,1.46,15840.00,0.92,3615.00,0.21
69,Exit Short,X-Exit-Sell 17100CE,2022-10-13 15:00,17037.80,100,-3240.00,-0.19,85990.00,-0.3,4845.00,0.28,7485.00,0.44
69,Entry Short,Sell 17100 CE,2022-10-13 11:30,17005.40,100,-3240.00,-0.19,85990.00,-0.3,4845.00,0.28,7485.00,0.44
70,Exit Short,X-Exit-Sell 18100CE,2022-11-03 15:00,18038.85,100,-2310.00,-0.13,83680.00,-0.21,725.00,0.04,2755.00,0.15
70,Entry Short,Sell 18100 CE,2022-11-03 14:00,18015.75,100,-2310.00,-0.13,83680.00,-0.21,725.00,0.04,2755.00,0.15
71,Exit Short,X-Exit-Sell 18150CE,2022-11-04 15:00,18077.60,400,-16200.00,-0.22,67480.00,-1.49,2480.00,0.03,18160.00,0.25
71,Entry Short,Sell 18150 CE,2022-11-04 12:00,18037.10,400,-16200.00,-0.22,67480.00,-1.49,2480.00,0.03,18160.00,0.25
72,Exit Short,X-Exit-Sell 18400CE,2022-11-15 15:00,18359.25,200,-10520.00,-0.29,56960.00,-0.99,3820.00,0.1,10520.00,0.29
72,Entry Short,Sell 18400 CE,2022-11-15 11:45,18306.65,200,-10520.00,-0.29,56960.00,-0.99,3820.00,0.1,10520.00,0.29
73,Exit Short,X-Exit-Sell 18300CE,2022-11-21 15:00,18161.25,400,6400.00,0.09,63360.00,0.61,17560.00,0.24,4260.00,0.06
73,Entry Short,Sell 18300 CE,2022-11-21 11:15,18177.25,400,6400.00,0.09,63360.00,0.61,17560.00,0.24,4260.00,0.06
74,Exit Short,X-Exit-Sell 18700CE,2022-12-06 15:00,18607.70,400,-200.00,0,63160.00,-0.02,8620.00,0.12,13560.00,0.18
74,Entry Short,Sell 18700 CE,2022-12-06 11:15,18607.20,400,-200.00,0,63160.00,-0.02,8620.00,0.12,13560.00,0.18
75,Exit Short,X-Exit-Sell 18650CE,2022-12-07 15:00,18616.00,100,-4450.00,-0.24,58710.00,-0.42,500.00,0.03,4745.00,0.26
75,Entry Short,Sell 18650 CE,2022-12-07 12:45,18571.50,100,-4450.00,-0.24,58710.00,-0.42,500.00,0.03,4745.00,0.26
76,Exit Short,X-Exit-Sell 18650CE,2022-12-08 15:00,18590.10,400,-7440.00,-0.1,51270.00,-0.7,1160.00,0.02,15660.00,0.21
76,Entry Short,Sell 18650 CE,2022-12-08 13:00,18571.50,400,-7440.00,-0.1,51270.00,-0.7,1160.00,0.02,15660.00,0.21
77,Exit Short,X-Exit-Sell 18650CE,2022-12-09 15:00,18464.50,100,9090.00,0.49,60360.00,0.86,14530.00,0.78,1315.00,0.07
77,Entry Short,Sell 18650 CE,2022-12-09 11:45,18555.40,100,9090.00,0.49,60360.00,0.86,14530.00,0.78,1315.00,0.07
78,Exit Short,X-Exit-Sell 18300CE,2022-12-20 15:00,18335.05,400,-45100.00,-0.62,15260.00,-4.25,7140.00,0.1,48840.00,0.67
78,Entry Short,Sell 18300 CE,2022-12-20 11:30,18222.30,400,-45100.00,-0.62,15260.00,-4.25,7140.00,0.1,48840.00,0.67
79,Exit Short,X-Exit-Sell 18400CE,2022-12-21 15:00,18216.60,200,19610.00,0.54,34870.00,1.93,30380.00,0.83,0,0
79,Entry Short,Sell 18400 CE,2022-12-21 12:30,18314.65,200,19610.00,0.54,34870.00,1.93,30380.00,0.83,0,0
80,Exit Short,X-Exit-Sell 18250CE,2023-01-04 15:00,18055.90,100,8140.00,0.45,43010.00,0.79,11670.00,0.64,40.00,0
80,Entry Short,Sell 18250 CE,2023-01-04 11:00,18137.30,100,8140.00,0.45,43010.00,0.79,11670.00,0.64,40.00,0
81,Exit Short,X-Exit-Sell 18050CE,2023-01-06 15:00,17865.25,100,7360.00,0.41,50370.00,0.71,14330.00,0.8,670.00,0.04
81,Entry Short,Sell 18050 CE,2023-01-06 12:00,17938.85,100,7360.00,0.41,50370.00,0.71,14330.00,0.8,670.00,0.04
82,Exit Short,X-Exit-Sell 17900CE,2023-01-12 15:00,17819.00,100,-3260.00,-0.18,47110.00,-0.31,2475.00,0.14,7580.00,0.43
82,Entry Short,Sell 17900 CE,2023-01-12 12:00,17786.40,100,-3260.00,-0.18,47110.00,-0.31,2475.00,0.14,7580.00,0.43
83,Exit Short,X-Exit-Sell 18000CE,2023-01-16 15:00,17877.80,100,2620.00,0.15,49730.00,0.25,5035.00,0.28,4030.00,0.23
83,Entry Short,Sell 18000 CE,2023-01-16 12:30,17904.00,100,2620.00,0.15,49730.00,0.25,5035.00,0.28,4030.00,0.23
84,Exit Short,X-Exit-Sell 18200CE,2023-01-20 15:00,18050.40,400,18400.00,0.25,68130.00,1.75,31280.00,0.43,3820.00,0.05
84,Entry Short,Sell 18200 CE,2023-01-20 13:15,18096.40,400,18400.00,0.25,68130.00,1.75,31280.00,0.43,3820.00,0.05
85,Exit Short,X-Exit-Sell 17650CE,2023-01-30 15:00,17560.95,100,-3440.00,-0.2,64690.00,-0.32,12100.00,0.69,5930.00,0.34
85,Entry Short,Sell 17650 CE,2023-01-30 12:45,17526.55,100,-3440.00,-0.2,64690.00,-0.32,12100.00,0.69,5930.00,0.34
86,Exit Short,X-Exit-Sell 17850CE,2023-02-13 15:00,17801.10,100,-3505.00,-0.2,61185.00,-0.33,4630.00,0.26,3675.00,0.21
86,Entry Short,Sell 17850 CE,2023-02-13 11:45,17766.05,100,-3505.00,-0.2,61185.00,-0.33,4630.00,0.26,3675.00,0.21
87,Exit Short,X-Exit-Sell 18000CE,2023-02-20 15:00,17853.00,100,3985.00,0.22,65170.00,0.38,7445.00,0.42,1980.00,0.11
87,Entry Short,Sell 18000 CE,2023-02-20 12:45,17892.85,100,3985.00,0.22,65170.00,0.38,7445.00,0.42,1980.00,0.11
88,Exit Short,X-Exit-Sell 17950CE,2023-02-21 15:00,17815.20,100,2755.00,0.15,67925.00,0.26,4245.00,0.24,4840.00,0.27
88,Entry Short,Sell 17950 CE,2023-02-21 13:00,17842.75,100,2755.00,0.15,67925.00,0.26,4245.00,0.24,4840.00,0.27
89,Exit Short,X-Exit-Sell 17600CE,2023-02-24 15:00,17439.60,100,6025.00,0.34,73950.00,0.56,7805.00,0.45,1065.00,0.06
89,Entry Short,Sell 17600 CE,2023-02-24 11:45,17499.85,100,6025.00,0.34,73950.00,0.56,7805.00,0.45,1065.00,0.06
