Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
23,Entry Short,Sell 45200 CE|Buy 46200 CE,2023-07-11 11:30,45073.15,1,9.50,0.02,1403.60,0,35.80,0.08,66.40,0.15
24,Exit Short,X-Exit- Sell 45100 CE|Buy 46100 CE,2023-07-13 12:30,44975.75,1,16.55,0.04,1420.15,0,43.00,0.1,46.25,0.1
24,Entry Short,Sell 45100 CE|Buy 46100 CE,2023-07-13 11:55,44992.30,1,16.55,0.04,1420.15,0,43.00,0.1,46.25,0.1
25,Exit Short,SL-Exit-Sell Sell 46100 CE|Buy 47100 CE,2023-07-24 12:00,45928.10,1,-63.10,-0.14,1357.05,-0.01,0.35,0,63.10,0.14
25,Entry Short,Sell 46100 CE|Buy 47100 CE,2023-07-24 12:00,45865.00,1,-63.10,-0.14,1357.05,-0.01,0.35,0,63.10,0.14
26,Exit Short,X-Exit- Sell 46100 CE|Buy 47100 CE,2023-07-25 12:30,45861.10,1,-48.90,-0.11,1308.15,0,54.55,0.12,48.90,0.11
26,Entry Short,Sell 46100 CE|Buy 47100 CE,2023-07-25 11:45,45812.20,1,-48.90,-0.11,1308.15,0,54.55,0.12,48.90,0.11
27,Exit Short,X-Exit- Sell 46200 CE|Buy 47200 CE,2023-07-27 12:30,45848.60,1,211.95,0.46,1520.10,0.02,231.05,0.5,55.75,0.12
27,Entry Short,Sell 46200 CE|Buy 47200 CE,2023-07-27 11:05,46060.55,1,211.95,0.46,1520.10,0.02,231.05,0.5,55.75,0.12
28,Exit Short,X-Exit- Sell 45700 CE|Buy 46700 CE,2023-08-01 12:30,45501.75,1,74.50,0.16,1594.60,0.01,79.60,0.17,49.45,0.11
28,Entry Short,Sell 45700 CE|Buy 46700 CE,2023-08-01 11:10,45576.25,1,74.50,0.16,1594.60,0.01,79.60,0.17,49.45,0.11
29,Exit Short,X-Exit- Sell 45300 CE|Buy 46300 CE,2023-08-02 12:30,45046.85,1,129.50,0.29,1724.10,0.01,191.00,0.42,0.30,0
29,Entry Short,Sell 45300 CE|Buy 46300 CE,2023-08-02 10:55,45176.35,1,129.50,0.29,1724.10,0.01,191.00,0.42,0.30,0
30,Exit Short,L-Exit- Sell 45000 CE|Buy 46000 CE,2023-08-08 12:15,45015.10,1,-87.65,-0.2,1636.45,-0.01,35.55,0.08,93.00,0.21
30,Entry Short,Sell 45000 CE|Buy 46000 CE,2023-08-08 11:20,44927.45,1,-87.65,-0.2,1636.45,-0.01,35.55,0.08,93.00,0.21
31,Exit Short,X-Exit- Sell 45100 CE|Buy 46100 CE,2023-08-10 12:30,44644.05,1,300.50,0.67,1936.95,0.03,465.55,1.04,4.25,0.01
31,Entry Short,Sell 45100 CE|Buy 46100 CE,2023-08-10 10:20,44944.55,1,300.50,0.67,1936.95,0.03,465.55,1.04,4.25,0.01
32,Exit Short,X-Exit- Sell 44000 CE|Buy 45000 CE,2023-08-16 12:30,43832.80,1,48.15,0.11,1985.10,0,149.95,0.34,24.40,0.06
32,Entry Short,Sell 44000 CE|Buy 45000 CE,2023-08-16 10:20,43880.95,1,48.15,0.11,1985.10,0,149.95,0.34,24.40,0.06
